"";"title";"Year"
"278";"The Motorcycle Diaries";"2004"
"279";"The Sea Inside";"2004"
"280";"Born into Brothels";"2004"
"281";"Mighty Times: The Children's March";"2004"
"282";"Wasp";"2004"
"283";"Ryan";"2004"
"284";"The Lord of the Rings: The Return of the King";"2003"
"285";"Master and Commander: The Far Side of the World";"2003"
"286";"Mystic River";"2003"
"287";"Cold Mountain";"2003"
"288";"Lost in Translation";"2003"
"289";"Finding Nemo";"2003"
"290";"The Barbarian Invasions";"2003"
"291";"Two Soldiers";"2003"
"292";"Monster";"2003"
"293";"Harvie Krumpet";"2003"
"294";"Chernobyl Heart";"2003"
"295";"The Fog of War";"2003"
"296";"Chicago";"2002"
"297";"The Pianist";"2002"
"298";"The Lord of the Rings: The Two Towers";"2002"
"299";"Frida";"2002"
"300";"The Hours";"2002"
"301";"Road to Perdition";"2002"
"302";"Adaptation";"2002"
"303";"Talk to Her (Hable con ella)";"2002"
"304";"This Charming Man (Der Er En Yndig Mand)";"2002"
"305";"Spirited Away";"2002"
"306";"Nowhere in Africa (Nirgendwo in Afrika)";"2002"
"307";"The ChubbChubbs!";"2002"
"308";"Twin Towers";"2002"
"309";"Bowling for Columbine";"2002"
"310";"8 Mile";"2002"
"311";"A Beautiful Mind";"2001"
"312";"The Lord of the Rings: The Fellowship of the Ring";"2001"
"313";"Moulin Rouge!";"2001"
"314";"Black Hawk Down";"2001"
"315";"Gosford Park";"2001"
"316";"Monsters, Inc.";"2001"
"317";"Pearl Harbor";"2001"
"318";"Iris";"2001"
"319";"Shrek";"2001"
"320";"Training Day";"2001"
"321";"Monster's Ball";"2001"
"322";"Thoth";"2001"
"323";"For the Birds";"2001"
"324";"No Man's Land";"2001"
"325";"Murder on a Sunday Morning (Un coupable idéal)";"2001"
"326";"The Accountant";"2001"
"327";"Gladiator";"2000"
"328";"Crouching Tiger, Hidden Dragon";"2000"
"329";"Traffic";"2000"
"330";"Erin Brockovich";"2000"
"331";"Almost Famous";"2000"
"332";"Wonder Boys";"2000"
"333";"How the Grinch Stole Christmas";"2000"
